theta,R,Dstar,size,members
-3.142,0.0,0.0,1,A047250
-3.142,0.0,0.034,1,A047492
-3.142,0.0,0.111,1,A000030
-3.142,0.004,0.185,1,A010412
-3.142,0.005,0.04,1,A047590
-3.142,0.009,0.043,1,A047575
-3.142,0.014,0.069,1,A058224
-3.142,0.039,0.052,1,A028902
-3.142,0.1,0.103,1,A019991
-3.142,0.392,0.197,1,A055615
-3.142,0.597,0.206,1,A055017
-3.142,0.783,0.263,2,A053222|A053246
-3.142,0.809,0.496,1,A009393
-3.142,0.884,0.42,1,A055651
-3.142,0.935,0.413,1,A007428
-3.141,0.231,0.155,1,A044855
-3.141,0.5,0.25,2,A009001|A009531
-3.141,0.685,0.248,1,A004718
-3.141,0.854,0.303,1,A030189
-3.141,0.854,0.346,1,A003406
-3.141,0.866,0.304,1,A030188
-3.141,0.873,0.44,1,A015624
-3.141,0.91,0.463,1,A016253
-3.141,0.98,0.5,1,A002448
-3.14,0.0,0.0,1,A052938
-3.14,0.0,0.001,1,A056088
-3.14,0.001,0.001,1,A058207
-3.14,0.003,0.004,1,A024706
-3.14,0.746,0.4,1,A016004
-3.14,0.847,0.435,1,A015491
-3.14,0.906,0.455,1,A015964
-3.139,0.062,0.093,1,A031483
-3.139,0.214,0.068,1,A046730
-3.139,0.753,0.293,1,A053825
-3.138,0.698,0.259,1,A002173
-3.138,0.829,0.366,1,A015794
-3.138,0.992,0.482,1,A008310
-3.138,0.996,0.49,2,A039991|A053120
-3.138,0.996,0.496,1,A048594
-3.137,0.0,0.0,1,A056024
-3.137,0.396,0.125,1,A037161
-3.137,0.552,0.306,1,A016319
-3.137,0.775,0.314,1,A050459
-3.136,0.012,0.054,1,A043692
-3.136,0.089,0.158,1,A037305
-3.136,0.793,0.32,1,A053826
-3.135,0.001,0.001,1,A047700
-3.135,0.114,0.049,1,A028900
-3.135,0.184,0.137,1,A031844
-3.135,0.535,0.168,1,A002070
-3.135,0.592,0.34,1,A015374
-3.135,0.854,0.43,1,A014944
-3.135,0.887,0.447,1,A015776
-3.135,0.959,0.443,1,A053256
-3.134,0.966,0.452,1,A053284
-3.134,0.999,0.499,1,A049444
-3.132,0.0,0.001,1,A010764
-3.132,0.974,0.462,2,A000025|A053269
-3.131,0.008,0.009,1,A005108
-3.131,0.03,0.03,1,A043667
-3.131,0.677,0.255,1,A053735
-3.131,0.717,0.253,1,A053822
-3.131,0.988,0.482,2,A053124|A053125
-3.13,0.0,0.0,1,A049474
-3.13,0.0,0.003,1,A029926
-3.13,0.546,0.289,1,A016154
-3.129,0.171,0.067,1,A028899
-3.129,0.396,0.128,1,A051125
-3.129,0.979,0.469,2,A058614|A058618
-3.128,0.001,0.046,1,A046116
-3.128,0.129,0.158,1,A049823
-3.128,0.178,0.175,1,A021108
-3.128,0.195,0.108,1,A049468
-3.128,0.662,0.246,1,A053737
-3.128,0.841,0.427,1,A014750
-3.127,0.163,0.202,1,A019511
-3.127,0.554,0.196,1,A002408
-3.127,0.964,0.45,1,A058688
-3.126,0.037,0.068,1,A031481
-3.126,0.399,0.127,1,A038760
-3.126,0.595,0.207,1,A053831
-3.125,0.014,0.066,1,A039096
-3.123,0.338,0.181,1,A058030
-3.123,0.451,0.333,1,A049298
-3.123,0.986,0.479,1,A058503
-3.122,0.395,0.238,1,A045301
-3.122,0.892,0.384,1,A058755
-3.121,0.093,0.112,1,A045072
-3.121,0.95,0.437,1,A058672
-3.12,0.976,0.466,1,A058559
-3.119,0.022,0.021,2,A025292|A025310
-3.119,0.756,0.366,1,A005762
-3.119,0.913,0.436,1,A056588
-3.119,0.977,0.468,1,A058533
-3.118,0.069,0.138,1,A039413
-3.117,0.056,0.054,1,A046510
-3.116,0.088,0.183,1,A021143
-3.116,0.212,0.333,1,A021278
-3.116,0.897,0.389,1,A058745
-3.115,0.262,0.096,1,A028898
-3.112,0.004,0.004,1,A008536
-3.112,0.989,0.478,1,A029840
-3.112,0.997,0.496,1,A028297
-3.111,0.894,0.362,1,A053250
-3.111,0.966,0.455,1,A058553
-3.111,0.983,0.477,1,A058098
-3.11,0.039,0.061,1,A028790
-3.11,0.097,0.133,1,A037991
-3.11,0.386,0.126,1,A051162
-3.11,0.414,0.209,1,A039418
-3.11,0.851,0.323,1,A053252
-3.11,0.995,0.503,1,A002483
-3.109,0.1,0.071,1,A039308
-3.109,0.702,0.258,1,A050223
-3.109,0.935,0.36,1,A047639
-3.108,0.071,0.115,1,A037404
-3.108,0.618,0.391,1,A020933
-3.108,0.781,0.313,1,A002614
-3.107,0.599,0.2,1,A023900
-3.107,0.819,0.348,1,A050456
-3.107,0.992,0.491,1,A029841
-3.105,0.114,0.098,1,A036576
-3.103,0.008,0.008,1,A003335
-3.103,0.078,0.126,1,A031946
-3.103,0.127,0.085,1,A037439
-3.103,0.991,0.484,1,A029842
-3.102,0.24,0.16,1,A020436
-3.102,0.933,0.422,1,A058612
-3.101,0.576,0.204,1,A053832
-3.101,0.849,0.314,1,A051950
-3.101,0.935,0.425,1,A058608
-3.101,0.966,0.422,1,A030220
-3.1,0.005,0.004,1,A053477
-3.1,0.013,0.01,1,A053339
-3.099,0.008,0.008,1,A003334
-3.099,0.988,0.485,1,A029843
-3.098,0.01,0.037,1,A050099
-3.098,0.805,0.35,1,A005760
-3.097,0.123,0.347,1,A021158
-3.097,0.94,0.431,1,A053273
-3.097,0.942,0.368,1,A010819
-3.096,0.029,0.038,1,A039562
-3.096,0.257,0.116,1,A011542
-3.096,0.942,0.433,1,A058568
-3.096,0.993,0.488,1,A029844
-3.094,0.415,0.145,1,A028897
-3.094,0.839,0.303,1,A036265
-3.094,0.999,0.506,1,A051339
-3.093,0.982,0.465,1,A058487
-3.092,0.777,0.329,1,A050313
-3.092,0.995,0.497,2,A005798|A029845
-3.09,0.009,0.009,1,A003333
-3.088,0.91,0.364,1,A002470
-3.087,0.54,0.192,1,A053835
-3.086,0.008,0.021,1,A030059
-3.086,0.999,0.508,1,A039814
-3.085,0.004,0.006,1,A007843
-3.082,0.947,0.384,1,A047647
-3.081,0.711,0.277,1,A035036
-3.081,0.971,0.441,1,A002607
-3.079,0.957,0.451,1,A058491
-3.077,0.015,0.011,1,A054999
-3.076,0.146,0.141,1,A054249
-3.075,0.002,0.003,1,A055938
-3.074,0.386,0.134,1,A008935
-3.074,0.604,0.263,1,A055736
-3.073,0.01,0.01,1,A003332
-3.073,0.077,0.087,2,A037989|A044848
-3.072,0.002,0.002,1,A024707
-3.072,0.055,0.036,1,A058899
-3.072,0.215,0.195,1,A036786
-3.072,0.55,0.196,1,A043269
-3.072,0.845,0.31,1,A036270
-3.072,0.992,0.496,1,A007191
-3.071,0.888,0.332,1,A000730
-3.07,0.035,0.287,1,A046416
-3.069,0.033,0.158,1,A021621
-3.069,0.982,0.471,1,A007325
-3.067,0.001,0.001,1,A036742
-3.066,0.409,0.333,1,A032545
-3.066,0.869,0.334,1,A005590
-3.064,0.011,0.011,1,A055262
-3.064,0.42,0.233,1,A053610
-3.064,0.637,0.237,1,A030205
-3.063,0.207,0.078,1,A002172
-3.063,0.293,0.096,1,A055593
-3.062,0.659,0.243,1,A004159
-3.061,0.644,0.235,1,A053830
-3.061,0.913,0.456,1,A003264
-3.061,0.994,0.507,1,A003272
-3.06,0.054,0.125,1,A020429
-3.059,0.026,0.023,1,A032692
-3.059,0.903,0.41,1,A055136
-3.058,0.913,0.455,1,A003245
-3.058,0.993,0.508,1,A056223
-3.056,0.995,0.498,1,A002507
-3.055,0.002,0.003,1,A020645
-3.055,0.038,0.026,1,A035700
-3.054,0.959,0.403,1,A034777
-3.053,0.004,0.004,1,A048195
-3.052,0.013,0.013,1,A003331
-3.052,0.227,0.148,1,A039333
-3.052,0.579,0.214,3,A004092|A004155|A007953
-3.052,0.969,0.469,1,A007256
-3.051,0.917,0.406,1,A028861
-3.05,0.008,0.01,1,A047224
-3.048,0.075,0.075,1,A031784
-3.047,0.241,0.106,1,A056951
-3.047,0.285,0.132,1,A030640
-3.047,0.674,0.269,1,A005811
-3.046,0.137,0.102,1,A043618
-3.046,0.965,0.404,1,A047648
-3.044,0.08,0.098,1,A039062
-3.043,0.424,0.308,1,A045167
-3.043,0.863,0.32,1,A001485
-3.042,0.001,0.001,1,A047232
-3.041,0.008,0.007,1,A038630
-3.041,0.052,0.065,1,A043528
-3.039,0.0,0.0,1,A008365
-3.039,0.608,0.292,1,A033264
-3.033,0.734,0.289,1,A049113
-3.032,0.042,0.084,1,A036160
-3.032,0.974,0.479,1,A007248
-3.031,0.015,0.024,2,A012264|A012265
-3.031,0.92,0.365,1,A030210
-3.03,0.005,0.005,1,A035034
-3.03,0.415,0.208,1,A056160
-3.028,0.005,0.004,1,A035035
-3.027,0.377,0.195,1,A037193
-3.026,0.092,0.155,1,A039312
-3.025,0.154,0.078,1,A056907
-3.025,0.186,0.168,1,A043394
-3.024,0.959,0.407,1,A002288
-3.024,0.999,0.517,1,A051379
-3.023,0.843,0.314,1,A036269
-3.022,0.978,0.508,1,A005151
-3.021,0.038,0.168,1,A034074
-3.021,0.145,0.094,1,A049358
-3.018,0.954,0.422,1,A030212
-3.017,0.869,0.341,1,A034950
-3.016,0.144,0.099,1,A031810
-3.015,0.071,0.08,1,A025526
-3.015,0.429,0.135,1,A055961
-3.014,0.291,0.135,1,A057747
-3.01,0.048,0.066,1,A011540
-3.01,0.965,0.439,1,A037946
-3.009,0.052,0.073,1,A043492
-3.009,0.174,0.179,1,A043336
-3.008,0.968,0.415,1,A010828
-3.007,0.466,0.245,1,A005094
-3.006,0.003,0.021,1,A037244
-3.006,0.006,0.005,1,A031177
-3.005,0.018,0.021,1,A054282
-3.005,0.033,0.031,1,A054034
-3.003,0.602,0.239,1,A034968
-3.002,0.94,0.391,1,A007332
-3.0,0.191,0.25,1,A038498
-3.0,0.998,0.52,2,A008275|A048994
-2.999,0.214,0.151,1,A030603
-2.999,0.35,0.187,1,A039458
-2.997,0.0,0.0,1,A058189
-2.994,0.002,0.002,1,A000414
-2.994,0.256,0.152,1,A033925
-2.992,0.025,0.069,1,A005707
-2.991,0.01,0.056,1,A044445
-2.99,0.977,0.478,2,A007252|A045483
-2.989,0.018,0.071,1,A045263
-2.989,0.17,0.098,1,A031221
-2.989,0.683,0.286,1,A027615
-2.988,0.053,0.1,1,A051806
-2.988,0.967,0.461,2,A007258|A045488
-2.987,0.01,0.006,1,A036974
-2.987,0.119,0.137,1,A043607
-2.986,0.981,0.495,3,A007246|A035099|A045479
-2.985,0.214,0.333,1,A047886
-2.984,0.004,0.014,1,A034098
-2.984,0.546,0.342,1,A011530
-2.982,0.002,0.004,1,A002153
-2.981,0.072,0.071,1,A033285
-2.98,0.001,0.002,1,A020484
-2.979,0.035,0.158,1,A021815
-2.978,0.52,0.21,1,A019570
-2.978,0.961,0.413,1,A010826
-2.977,0.073,0.071,1,A033284
-2.974,0.209,0.106,1,A043267
-2.973,0.206,0.154,1,A031803
-2.971,0.636,0.294,1,A050430
-2.97,0.1,0.195,1,A056557
-2.97,0.619,0.274,1,A046818
-2.969,0.02,0.017,1,A003330
-2.968,0.766,0.475,1,A009787
-2.967,0.014,0.028,1,A030451
-2.965,0.982,0.485,1,A003823
-2.964,0.117,0.135,1,A045071
-2.964,0.146,0.333,1,A056529
-2.963,0.06,0.087,1,A031812
-2.962,0.001,0.001,1,A003619
-2.961,0.229,0.193,1,A031258
-2.961,0.237,0.179,1,A030376
-2.961,0.999,0.527,1,A051380
-2.96,0.486,0.19,1,A029931
-2.959,0.314,0.242,1,A044987
-2.958,0.614,0.232,1,A002321
-2.957,0.009,0.022,1,A025497
-2.956,0.697,0.286,1,A014420
-2.956,0.976,0.438,1,A010836
-2.953,0.001,0.001,1,A057716
-2.95,0.957,0.406,1,A047640
-2.945,0.926,0.473,1,A010113
-2.943,0.695,0.306,1,A057514
-2.94,0.0,0.0,1,A000966
-2.938,0.095,0.165,1,A037194
-2.938,0.117,0.129,1,A045048
-2.937,0.979,0.456,1,A010839
-2.936,0.001,0.011,1,A044007
-2.936,0.693,0.345,1,A034779
-2.936,0.997,0.526,1,A049061
-2.935,0.001,0.001,1,A050173
-2.935,0.093,0.12,1,A037994
-2.934,0.281,0.213,1,A039443
-2.934,0.668,0.278,1,A004157
-2.933,0.968,0.487,1,A058095
-2.932,0.033,0.04,1,A007150
-2.932,0.039,0.04,1,A004779
-2.929,0.038,0.035,1,A033496
-2.929,0.065,0.13,1,A052237
-2.929,0.215,0.138,1,A030330
-2.928,0.686,0.273,1,A036041
-2.925,0.976,0.485,1,A006709
-2.924,0.009,0.03,1,A043525
-2.924,0.053,0.043,1,A023690
-2.923,0.018,0.075,1,A039286
-2.923,0.42,0.255,1,A025485
-2.922,0.753,0.317,1,A035531
-2.921,0.693,0.273,1,A050311
-2.92,0.126,0.14,1,A034280
-2.918,0.026,0.048,1,A039498
-2.918,0.433,0.155,1,A049604
-2.917,0.021,0.018,1,A003062
-2.917,0.74,0.274,1,A046692
-2.916,0.278,0.166,1,A044856
-2.913,0.003,0.068,1,A039132
-2.913,0.013,0.009,1,A044645
-2.911,0.49,0.315,1,A011528
-2.91,0.954,0.414,1,A047644
-2.909,0.001,0.003,1,A000015
-2.909,0.118,0.18,1,A059463
-2.909,0.254,0.131,1,A043522
-2.908,0.831,0.396,1,A056141
-2.908,0.925,0.479,1,A010118
-2.906,0.573,0.233,1,A004160
-2.904,0.081,0.047,1,A034048
-2.904,0.137,0.211,1,A023988
-2.903,0.492,0.192,1,A052008
-2.903,0.999,0.537,1,A051523
-2.902,0.562,0.279,1,A050310
-2.9,0.793,0.364,1,A034436
-2.9,0.928,0.393,1,A047642
-2.898,0.987,0.505,1,A055101
-2.897,0.006,0.009,1,A049511
-2.897,0.456,0.222,1,A039387
-2.896,0.032,0.043,1,A051808
-2.895,0.062,0.05,1,A052405
-2.894,0.234,0.13,1,A046508
-2.894,0.311,0.172,1,A039385
-2.894,0.434,0.219,1,A028947
-2.893,0.045,0.105,1,A034846
-2.892,0.461,0.332,1,A033702
-2.891,0.92,0.461,1,A057382
-2.889,0.027,0.032,1,A039040
-2.889,0.054,0.117,1,A036923
-2.889,0.495,0.157,1,A055951
-2.887,0.001,0.003,1,A007918
-2.887,0.148,0.09,1,A004481
-2.887,0.973,0.502,1,A058531
-2.884,0.006,0.007,1,A055038
-2.884,0.045,0.039,1,A001995
-2.882,0.618,0.242,1,A052435
-2.878,0.928,0.487,1,A010110
-2.876,0.05,0.046,1,A008538
-2.876,0.683,0.295,1,A014499
-2.875,0.02,0.011,1,A025396
-2.875,0.029,0.026,1,A003995
-2.875,0.117,0.066,1,A014085
-2.872,0.062,0.071,1,A026834
-2.868,0.002,0.002,1,A036785
-2.868,0.168,0.101,1,A031237
-2.867,0.026,0.013,1,A004780
-2.867,0.394,0.132,1,A002334
-2.865,0.582,0.264,1,A039614
-2.862,0.999,0.542,1,A008276
-2.861,0.284,0.195,4,A043574|A043753|A043761|A043770
-2.861,0.322,0.209,1,A039542
-2.86,0.022,0.022,1,A035705
-2.858,0.003,0.003,1,A000408
-2.858,0.18,0.205,1,A031514
-2.858,0.94,0.492,1,A010103
-2.857,0.039,0.042,1,A004863
-2.856,0.038,0.068,1,A039280
-2.855,0.077,0.06,1,A042958
-2.854,0.001,0.001,1,A057854
-2.852,0.061,0.137,1,A039332
-2.852,0.649,0.338,1,A023516
-2.85,0.035,0.106,1,A039322
-2.85,0.175,0.27,1,A011522
-2.85,0.686,0.305,1,A046820
-2.85,0.962,0.442,1,A010832
-2.847,0.096,0.095,1,A039356
-2.844,0.028,0.034,1,A022416
-2.844,0.046,0.07,1,A049821
-2.844,0.989,0.541,1,A056886
-2.843,0.177,0.25,1,A016385
-2.842,0.036,0.024,1,A046433
-2.842,0.235,0.207,1,A039482
-2.842,0.315,0.234,1,A046398
-2.841,0.064,0.082,1,A045001
-2.841,0.305,0.183,1,A044978
-2.84,0.032,0.051,1,A028782
-2.837,0.005,0.005,1,A008522
-2.837,0.3,0.307,1,A027388
-2.837,0.691,0.342,1,A008334
-2.837,0.924,0.478,1,A057385
-2.836,0.005,0.008,1,A054311
-2.836,0.067,0.062,1,A043740
-2.835,0.995,0.542,1,A004175
-2.834,0.009,0.008,1,A029742
-2.834,0.028,0.058,1,A045192
-2.834,0.907,0.385,1,A001486
-2.833,0.027,0.049,1,A046794
-2.833,0.064,0.091,1,A039063
-2.831,0.984,0.497,1,A035190
-2.83,0.131,0.084,1,A037401
-2.83,0.414,0.279,1,A011526
-2.83,0.827,0.394,1,A003785
-2.828,0.007,0.007,1,A038687
-2.828,0.85,0.427,1,A007207
-2.827,0.373,0.196,1,A039335
-2.826,0.126,0.333,1,A028735
-2.826,0.127,0.173,1,A004430
-2.823,0.111,0.199,1,A031667
-2.823,0.133,0.103,1,A039077
-2.823,0.465,0.243,1,A055401
-2.822,0.735,0.322,1,A050312
-2.82,0.147,0.25,1,A037899
-2.82,0.993,0.542,1,A030016
-2.819,0.037,0.03,1,A032691
-2.819,0.347,0.291,1,A055767
-2.818,0.016,0.013,1,A025371
-2.818,0.227,0.1,1,A048571
-2.817,0.005,0.004,1,A025367
-2.817,0.073,0.072,1,A043333
-2.816,0.215,0.113,1,A043268
-2.816,0.464,0.163,1,A055169
-2.815,0.052,0.028,1,A023707
-2.815,0.206,0.108,1,A011535
-2.814,0.047,0.123,1,A037317
-2.812,0.662,0.316,1,A043475
-2.81,0.308,0.162,1,A010077
-2.808,0.327,0.187,1,A046822
-2.808,0.327,0.221,1,A046821
-2.806,0.068,0.073,1,A023708
-2.806,0.101,0.127,1,A031458
-2.805,0.892,0.466,1,A058940
-2.802,0.226,0.157,1,A030389
-2.801,0.005,0.005,1,A024409
-2.798,0.025,0.045,1,A037971
-2.798,0.067,0.057,1,A004434
-2.798,0.691,0.343,1,A024708
-2.796,0.316,0.199,1,A046824
-2.795,0.035,0.088,1,A043449
-2.795,0.967,0.461,1,A010837
-2.794,0.258,0.139,1,A043263
-2.793,0.691,0.382,1,A055734
-2.792,0.005,0.042,1,A046505
-2.791,0.01,0.013,1,A007928
-2.79,0.2,0.213,1,A032889
-2.787,0.185,0.171,1,A034697
-2.785,0.008,0.016,1,A037917
-2.785,0.069,0.071,1,A059461
-2.783,0.045,0.041,1,A008519
-2.783,0.314,0.173,1,A043423
-2.782,0.899,0.371,1,A002171
-2.782,0.987,0.532,1,A051794
-2.781,0.023,0.069,1,A055748
-2.781,0.126,0.089,1,A020445
-2.781,0.696,0.296,1,A050309
-2.78,0.001,0.001,1,A045762
-2.779,0.01,0.009,1,A004432
-2.777,0.869,0.37,1,A030187
-2.776,0.026,0.02,1,A025400
-2.774,0.037,0.069,1,A037400
-2.773,0.979,0.478,1,A010838
-2.772,0.124,0.111,1,A038724
-2.77,0.044,0.044,1,A022418
-2.77,0.733,0.321,1,A039961
-2.769,0.016,0.013,1,A025372
-2.769,0.963,0.49,1,A058511
-2.768,0.748,0.304,1,A055566
-2.767,0.011,0.032,1,A022415
-2.767,0.408,0.21,1,A059583
-2.767,0.863,0.417,1,A052308
-2.766,0.097,0.25,1,A021420
-2.765,0.105,0.25,1,A021654
-2.761,0.163,0.333,1,A043556
-2.759,0.004,0.003,1,A059485
-2.759,0.348,0.186,1,A048933
-2.757,0.069,0.062,1,A022420
-2.757,0.712,0.345,1,A050218
-2.757,0.968,0.514,1,A058091
-2.755,0.034,0.057,1,A004001
-2.755,0.594,0.316,1,A036555
-2.754,0.912,0.46,1,A055135
-2.752,0.974,0.532,1,A058548
-2.751,0.036,0.081,1,A033557
-2.749,0.127,0.25,1,A021069
-2.749,0.237,0.112,1,A043501
-2.749,0.462,0.198,1,A045893
-2.748,0.31,0.262,1,A011524
-2.747,0.017,0.019,1,A053687
-2.747,0.104,0.25,1,A055639
-2.746,0.003,0.003,1,A048104
-2.745,0.45,0.18,1,A058188
-2.744,0.022,0.018,1,A025060
-2.744,0.245,0.109,1,A045257
-2.74,0.001,0.003,1,A020647
-2.74,0.361,0.123,1,A055963
-2.739,0.015,0.044,1,A049008
-2.739,0.247,0.308,1,A020998
-2.737,0.001,0.002,1,A020648
-2.737,0.089,0.25,1,A044944
-2.735,0.029,0.054,2,A037985|A044847
-2.734,0.242,0.246,1,A039534
-2.733,0.231,0.235,1,A037862
-2.733,0.992,0.551,1,A002123
-2.732,0.032,0.027,1,A025391
-2.729,0.871,0.425,1,A048805
-2.728,0.345,0.333,1,A025146
-2.727,0.14,0.105,1,A045024
-2.725,0.303,0.201,1,A045283
-2.724,0.522,0.249,1,A039423
-2.723,0.19,0.13,1,A039475
-2.72,0.117,0.129,1,A039279
-2.72,0.961,0.451,1,A047646
-2.719,0.021,0.056,1,A059094
-2.719,0.987,0.551,1,A058096
-2.716,0.003,0.007,1,A044217
-2.715,0.119,0.25,1,A021030
-2.714,0.0,0.0,1,A013928
-2.714,0.243,0.333,1,A037810
-2.713,0.995,0.563,1,A048998
-2.712,0.995,0.564,1,A048999
-2.711,0.016,0.02,1,A054277
-2.711,0.053,0.074,1,A023633
-2.71,0.079,0.057,1,A037046
-2.709,0.019,0.016,1,A024796
-2.709,0.638,0.313,1,A057536
-2.708,0.974,0.511,1,A035150
-2.705,0.082,0.075,1,A022421
-2.705,0.475,0.249,1,A030424
-2.702,0.005,0.004,2,A024620|A027883
-2.702,0.013,0.009,1,A044648
-2.701,0.151,0.154,1,A052009
-2.7,0.009,0.009,1,A059390
-2.7,0.573,0.296,1,A043451
-2.7,0.588,0.311,1,A043499
-2.698,0.063,0.053,1,A025403
-2.696,0.05,0.063,1,A031270
-2.696,0.334,0.162,1,A046129
-2.693,0.0,0.001,1,A056875
-2.692,0.067,0.065,1,A023723
-2.691,0.007,0.006,1,A001690
-2.69,0.037,0.045,1,A031185
-2.689,0.005,0.041,1,A023714
-2.689,0.273,0.146,1,A039436
-2.688,0.65,0.388,1,A023568
-2.683,0.022,0.064,1,A031199
-2.682,0.017,0.02,1,A015911
-2.681,0.719,0.39,1,A050252
-2.679,0.103,0.09,1,A022423
-2.679,0.255,0.189,1,A020401
-2.678,0.918,0.441,1,A002613
-2.677,0.013,0.023,1,A036992
-2.676,0.325,0.174,1,A044857
-2.676,0.899,0.4,1,A030211
-2.675,0.001,0.001,1,A036743
-2.673,0.751,0.322,1,A055095
-2.672,0.007,0.004,1,A003670
-2.672,0.033,0.079,1,A043485
-2.671,0.944,0.44,1,A000731
-2.67,0.039,0.086,1,A039178
-2.669,0.348,0.16,1,A010074
-2.669,0.685,0.381,1,A037827
-2.669,0.691,0.262,1,A024919
-2.668,0.014,0.053,1,A043453
-2.667,0.02,0.094,1,A039295
-2.666,0.07,0.084,1,A031780
-2.663,0.01,0.054,1,A046796
-2.662,0.703,0.316,1,A055565
-2.661,0.921,0.5,1,A057384
-2.655,0.009,0.009,1,A005767
-2.654,0.761,0.348,1,A055778
-2.654,0.893,0.406,1,A056929
-2.652,0.088,0.103,1,A037394
-2.652,0.125,0.137,1,A051553
-2.652,0.323,0.18,1,A003986
-2.651,0.015,0.022,1,A004751
-2.65,0.112,0.113,2,A033283|A044851
-2.647,0.038,0.032,1,A003329
-2.644,0.059,0.078,1,A039078
-2.644,0.933,0.433,1,A047649
-2.643,0.002,0.013,1,A006644
-2.643,0.022,0.094,1,A031495
-2.64,0.033,0.056,1,A006158
-2.639,0.063,0.083,1,A039133
-2.637,0.089,0.065,1,A047821
-2.636,0.969,0.52,1,A058099
-2.634,0.05,0.034,1,A056068
-2.633,0.013,0.009,1,A044649
-2.633,0.151,0.072,1,A032426
-2.631,0.007,0.012,1,A051278
-2.63,0.051,0.136,1,A034844
-2.625,0.029,0.051,1,A043489
-2.625,0.87,0.476,1,A039683
-2.623,0.069,0.09,1,A031787
-2.622,0.962,0.495,1,A037944
-2.621,0.032,0.031,1,A049515
-2.621,0.194,0.14,1,A050215
-2.62,0.003,0.005,1,A046337
-2.618,0.247,0.333,1,A029551
-2.617,0.158,0.101,1,A003635
-2.614,0.228,0.173,1,A045255
-2.611,0.024,0.031,1,A039041
-2.61,0.011,0.008,1,A044277
-2.61,0.458,0.4,1,A003894
-2.604,0.051,0.054,1,A055598
-2.604,0.076,0.087,1,A039420
-2.601,0.071,0.114,1,A039067
-2.599,0.057,0.053,1,A003379
-2.598,0.067,0.064,1,A031965
-2.598,0.134,0.076,1,A048689
-2.598,0.927,0.433,1,A001488
-2.597,0.054,0.104,1,A053690
-2.597,0.388,0.212,1,A045298
-2.595,0.403,0.197,1,A039388
-2.594,0.121,0.111,1,A028774
-2.594,0.855,0.379,1,A036264
-2.593,0.002,0.005,1,A057904
-2.59,0.007,0.006,1,A022561
-2.59,0.895,0.418,1,A053714
-2.589,0.001,0.001,1,A055126
-2.589,0.002,0.002,1,A046038
-2.588,0.002,0.001,1,A043000
-2.588,0.062,0.082,1,A037435
-2.587,0.957,0.47,1,A010824
-2.586,0.046,0.038,1,A025331
-2.585,0.277,0.198,1,A010075
-2.585,0.594,0.293,1,A050493
-2.584,0.025,0.019,1,A004750
-2.582,0.022,0.033,1,A028974
-2.581,0.117,0.1,1,A033662
-2.576,0.01,0.012,1,A034101
-2.576,0.085,0.081,2,A043689|A043739
-2.576,0.872,0.461,1,A052311
-2.575,0.001,0.001,1,A007412
-2.575,0.662,0.357,1,A007895
-2.573,0.015,0.008,1,A054294
-2.571,0.056,0.046,1,A004433
-2.571,0.202,0.153,1,A039386
-2.567,0.153,0.108,1,A031814
-2.559,0.059,0.127,1,A043322
-2.555,0.659,0.362,1,A006838
-2.554,0.0,0.004,2,A026922|A059169
-2.552,0.031,0.217,1,A031676
-2.552,0.255,0.147,1,A043526
-2.55,0.001,0.001,1,A055125
-2.547,0.669,0.348,1,A004164
-2.547,0.961,0.513,1,A058204
-2.546,0.04,0.14,1,A010419
-2.545,0.001,0.001,1,A020486
-2.545,0.022,0.048,1,A050003
-2.544,0.004,0.003,1,A007916
-2.544,0.045,0.06,1,A053075
-2.543,0.024,0.061,1,A013657
-2.541,0.287,0.121,1,A036474
-2.541,0.501,0.284,1,A057525
-2.54,0.005,0.004,1,A059404
-2.537,0.127,0.181,1,A059007
-2.534,0.127,0.143,1,A031055
-2.532,0.006,0.008,1,A027854
-2.532,0.017,0.016,1,A034105
-2.531,0.023,0.019,1,A004169
-2.531,0.032,0.028,1,A001974
-2.53,0.008,0.007,1,A049579
-2.53,0.389,0.222,1,A039548
-2.53,0.627,0.327,1,A037202
-2.529,0.643,0.321,1,A050308
-2.528,0.049,0.039,1,A001944
-2.528,0.912,0.455,1,A002609
-2.527,0.038,0.033,1,A050813
-2.525,0.893,0.52,1,A030217
-2.524,0.875,0.51,1,A030213
-2.523,0.885,0.516,1,A030214
-2.522,0.055,0.162,1,A031620
-2.519,0.115,0.077,1,A019549
-2.519,0.421,0.25,1,A007720
-2.518,0.009,0.007,1,A005231
-2.515,0.0,0.002,1,A048842
-2.514,0.009,0.015,1,A055930
-2.514,0.851,0.494,1,A030202
-2.513,0.095,0.4,1,A004200
-2.513,0.238,0.401,1,A023989
-2.513,0.291,0.2,1,A045781
-2.512,0.095,0.4,1,A006467
-2.511,0.006,0.006,1,A056868
-2.51,0.045,0.046,1,A014569
-2.509,0.003,0.002,1,A053869
-2.508,0.255,0.146,1,A048947
-2.506,0.001,0.001,1,A055124
-2.504,0.061,0.059,1,A052406
-2.503,0.925,0.467,1,A034433
-2.501,0.959,0.484,1,A010825
-2.499,0.006,0.006,1,A024507
-2.498,0.013,0.11,1,A039296
-2.497,0.713,0.354,1,A035037
-2.491,0.013,0.014,1,A023057
-2.487,0.044,0.071,1,A039334
-2.487,0.093,0.183,1,A045084
-2.487,0.602,0.361,1,A043536
-2.485,0.053,0.042,1,A051884
-2.483,0.312,0.235,1,A016397
